x, y, u, v: 119, 215, 1.09113, -4.14702
x, y, u, v: 135, 215, 1.43744, -4.40748
x, y, u, v: 151, 215, 1.63621, -4.61789
x, y, u, v: 167, 215, 1.99484, -4.83908
x, y, u, v: 183, 215, 2.69076, -4.57601
x, y, u, v: 199, 215, 2.85405, -4.48058
x, y, u, v: 215, 215, 3.3501, -3.73437
x, y, u, v: 231, 215, 3.94459, -2.61384
x, y, u, v: 247, 215, 4.11274, -1.12651
x, y, u, v: 263, 215, 4.233, 0.214106
x, y, u, v: 279, 215, 3.85175, 2.27028
x, y, u, v: 295, 215, 4.10702, 3.48499
x, y, u, v: 311, 215, 3.34471, 4.12787
x, y, u, v: 327, 215, 2.94936, 4.64533
x, y, u, v: 343, 215, 2.12822, 4.77474
x, y, u, v: 359, 215, 1.82242, 4.52234
x, y, u, v: 375, 215, 3.87967, -6.94082
x, y, u, v: 391, 215, 1.18801, 3.6701
x, y, u, v: 407, 215, 1.0549, 3.47915
x, y, u, v: 423, 215, 0.84657, 3.39113
x, y, u, v: 439, 215, 1.32869, 3.00298
x, y, u, v: 455, 215, 0.571085, 2.81195
x, y, u, v: 471, 215, 0.63076, 2.86906
x, y, u, v: 487, 215, 0.325614, 2.60145
x, y, u, v: 503, 215, 0.348085, 2.33047
x, y, u, v: 7, 231, 0.224142, -2.3964
x, y, u, v: 23, 231, 0.294388, -2.54011
x, y, u, v: 39, 231, 0.247489, -2.74736
x, y, u, v: 55, 231, 0.380216, -3.0276
x, y, u, v: 71, 231, 0.394419, -3.22113
x, y, u, v: 87, 231, 0.408444, -3.56231
x, y, u, v: 103, 231, 0.512586, -3.76773
x, y, u, v: 119, 231, 0.792005, -4.10733
x, y, u, v: 135, 231, 0.693626, -4.68074
x, y, u, v: 151, 231, 1.07197, -4.94606
x, y, u, v: 167, 231, 1.15853, -5.24514
x, y, u, v: 183, 231, 1.56738, -4.90904
x, y, u, v: 199, 231, 1.64094, -5.32623
x, y, u, v: 215, 231, 1.82336, -4.25664
x, y, u, v: 231, 231, 2.15483, -2.43141
x, y, u, v: 247, 231, 2.13944, -1.3286
x, y, u, v: 263, 231, 2.81107, 0.596709
x, y, u, v: 279, 231, 2.25773, 2.44787
x, y, u, v: 295, 231, 2.56873, 3.4642
x, y, u, v: 311, 231, 1.90518, 4.75015
x, y, u, v: 327, 231, 1.86534, 5.05092
x, y, u, v: 343, 231, 1.46433, 5.04176
x, y, u, v: 359, 231, 1.20602, 4.91308
x, y, u, v: 375, 231, 0.717387, 4.33417
x, y, u, v: 391, 231, 0.844883, 4.18372
x, y, u, v: 407, 231, 0.666904, 3.74877
x, y, u, v: 423, 231, 0.355134, 3.42817
x, y, u, v: 439, 231, 0.332187, 3.1011
x, y, u, v: 455, 231, 0.270657, 2.88584
x, y, u, v: 471, 231, 0.28435, 2.83552
x, y, u, v: 487, 231, 0.246633, 2.55399
x, y, u, v: 503, 231, 0.215096, 2.35858
x, y, u, v: 7, 247, 0.0252668, -2.49746
