x, y, u, v: 47, 287, -0.552069, -2.76606
x, y, u, v: 47, 295, -0.567399, -2.83853
x, y, u, v: 47, 303, -0.750438, -2.68622
x, y, u, v: 47, 311, -0.756691, -2.68634
x, y, u, v: 47, 319, -0.914474, -2.71055
x, y, u, v: 47, 327, -0.994131, -2.68173
x, y, u, v: 47, 335, -0.942686, -2.49727
x, y, u, v: 47, 343, -1.08792, -2.53707
x, y, u, v: 47, 351, -1.08094, -2.39129
x, y, u, v: 47, 359, -1.18862, -2.22737
x, y, u, v: 47, 367, -1.28857, -2.2216
x, y, u, v: 47, 375, -4.02194, -7.34137
x, y, u, v: 47, 383, -1.31108, -2.09061
x, y, u, v: 47, 391, -1.32626, -2.05119
x, y, u, v: 47, 399, -1.40193, -1.88074
x, y, u, v: 47, 407, -1.22918, -1.86661
x, y, u, v: 47, 415, -1.26989, -1.8048
x, y, u, v: 47, 423, -1.39557, -1.67339
x, y, u, v: 47, 431, -1.46073, -1.63369
x, y, u, v: 47, 439, -1.34926, -1.32361
x, y, u, v: 47, 447, -1.46738, -1.62044
x, y, u, v: 47, 455, -1.17031, -1.59601
x, y, u, v: 47, 463, -1.53816, -1.42045
x, y, u, v: 47, 471, -5.71055, -0.820422
x, y, u, v: 47, 479, -1.45853, -1.37749
x, y, u, v: 47, 487, -1.42695, -1.33017
x, y, u, v: 47, 495, -1.44737, -1.25913
x, y, u, v: 47, 503, -1.47468, -1.29626
x, y, u, v: 55, 7, 1.50771, -1.20063
x, y, u, v: 55, 15, 1.58929, -1.21709
x, y, u, v: 55, 23, 1.57676, -1.25908
x, y, u, v: 55, 31, 1.51392, -1.35086
x, y, u, v: 55, 39, 1.44878, -1.3672
x, y, u, v: 55, 47, 7.48382, -5.81623
x, y, u, v: 55, 55, 1.51559, -1.60938
x, y, u, v: 55, 63, 1.46745, -1.68717
x, y, u, v: 55, 71, 1.56853, -1.76721
x, y, u, v: 55, 79, 1.542, -1.73296
x, y, u, v: 55, 87, 1.48832, -1.7874
x, y, u, v: 55, 95, 1.4676, -1.80952
x, y, u, v: 55, 103, 1.46105, -2.13687
x, y, u, v: 55, 111, 1.39532, -2.06455
x, y, u, v: 55, 119, 1.32253, -2.08998
x, y, u, v: 55, 127, 1.3637, -2.10172
x, y, u, v: 55, 135, 0.972321, -2.24921
x, y, u, v: 55, 143, 1.2039, -2.29066
x, y, u, v: 55, 151, 1.18848, -2.3395
x, y, u, v: 55, 159, 1.13042, -2.44643
x, y, u, v: 55, 167, 1.16229, -2.53112
x, y, u, v: 55, 175, 1.04619, -2.66484
x, y, u, v: 55, 183, 0.985876, -2.65584
x, y, u, v: 55, 191, 1.03243, -2.68569
x, y, u, v: 55, 199, 0.802482, -2.93491
x, y, u, v: 55, 207, 0.800551, -3.18458
x, y, u, v: 55, 215, 0.498239, -2.83772
x, y, u, v: 55, 223, 0.392396, -2.98373
x, y, u, v: 55, 231, 0.380216, -3.0276
x, y, u, v: 55, 239, 0.114593, -3.01216
x, y, u, v: 55, 247, 0.065295, -2.97729
x, y, u, v: 55, 255, 0.0223701, -2.9827
x, y, u, v: 55, 263, -0.105785, -3.03291
x, y, u, v: 55, 271, -0.277562, -2.99629
x, y, u, v: 55, 279, -0.309622, -3.00384
x, y, u, v: 55, 287, -0.517979, -2.94042
x, y, u, v: 55, 295, -0.503505, -2.9381
x, y, u, v: 55, 303, -0.532761, -2.7871
x, y, u, v: 55, 311, -0.92256, -2.8545
x, y, u, v: 55, 319, -0.916273, -2.70743
x, y, u, v: 55, 327, -0.933308, -2.64437
x, y, u, v: 55, 335, -1.10551, -2.50761
x, y, u, v: 55, 343, -1.17335, -2.53712
x, y, u, v: 55, 351, -1.22749, -2.37355
x, y, u, v: 55, 359, -1.17956, -2.26619
x, y, u, v: 55, 367, -1.26589, -2.2514
x, y, u, v: 55, 375, -1.30252, -2.33663
x, y, u, v: 55, 383, -1.33653, -2.0775
x, y, u, v: 55, 391, -1.36508, -2.08105
x, y, u, v: 55, 399, -1.48842, -1.93579
x, y, u, v: 55, 407, -1.54425, -2.02079
x, y, u, v: 55, 415, -1.71113, -1.93942
x, y, u, v: 55, 423, -1.58104, -1.89907
x, y, u, v: 55, 431, -1.47657, -1.64968
